Section Name,Axial Capacity,Weight per Unit Length
HSS5X5X4,46.3,15.62
HSS5X5X5,54.9,19.08
HSS5X5X6,62.5,22.37
HSS5X5X8,75.5,28.43
HSS4X4X4,22.5,12.21
HSS4X4X5,26.3,14.83
HSS4X4X6,29.9,17.27
HSS4X4X8,34.6,21.63
HSS6X6X4,78.4,19.02
HSS6X6X5,94.4,23.34
HSS6X6X6,109,27.48
HSS6X6X8,136,35.24
HSS6X6X10,156,42.3
HSS7X7X4,112,22.42
HSS7X7X5,136,27.59
HSS7X7X6,159,32.58
HSS7X7X8,200,42.05
HSS7X7X10,237,50.81
HSS8X8X4,145,25.82
HSS8X8X5,178,31.84
HSS8X8X6,210,37.69
HSS8X8X8,268,48.85
HSS8X8X10,321,59.32
HSS9X9X4,178,29.23
HSS9X9X5,219,36.1
HSS9X9X6,260,42.79
HSS9X9X8,333,55.66
